date,count
2010-06,7
2010-07,20
2010-08,26
2010-09,2
2010-10,6
2012-10,324
2012-11,233
2012-12,203
2013-01,223
2013-02,160
2013-03,117
2013-04,87
2013-05,68
2013-06,135
2013-07,91
2013-08,137
2013-09,154
2013-10,166
2013-11,142
2013-12,149
2014-01,180
2014-02,169
2014-03,225
2014-04,222
2014-05,189
2014-06,165
2014-07,243
2014-08,122
2014-09,145
2014-10,149
2014-11,101
2014-12,54
